,index,counts
0,2023-11-27T23:41:45Z,0
1,2023-11-18T17:11:54Z,0
2,2023-11-12T23:05:32Z,0
3,2023-11-09T21:41:29Z,2
4,2023-11-08T18:28:28Z,0
5,2023-11-08T14:59:34Z,1
6,2023-11-08T13:18:33Z,0
7,2023-11-08T13:09:57Z,0
8,2023-11-08T12:39:32Z,2
9,2023-11-08T12:27:52Z,13
10,2023-11-08T12:18:26Z,2
11,2023-11-08T12:14:40Z,0
12,2023-11-08T12:04:00Z,0
13,2023-11-08T12:01:20Z,0
14,2023-11-24T14:11:35Z,0
15,2023-11-18T23:56:41Z,0
16,2023-11-14T15:51:55Z,0
17,2023-11-13T17:57:53Z,0
18,2023-10-31T17:42:07Z,0
19,2023-10-30T14:25:44Z,0
20,2023-10-27T13:45:04Z,0
21,2023-10-18T11:07:49Z,0
22,2023-10-15T10:26:38Z,5
23,2023-10-13T02:45:25Z,0
24,2023-10-10T09:17:30Z,0
25,2023-10-10T06:19:23Z,0
26,2023-10-05T04:24:42Z,0
27,2023-09-29T04:27:39Z,0
28,2023-09-27T20:13:05Z,0
29,2023-09-26T03:58:12Z,0
30,2023-09-23T07:13:20Z,0
31,2023-09-22T13:59:16Z,0
32,2023-09-22T06:11:07Z,0
33,2023-09-19T19:01:33Z,0
34,2023-09-19T12:38:52Z,0
35,2023-09-16T07:28:58Z,0
36,2023-09-15T09:14:13Z,0
37,2023-09-14T23:53:29Z,0
38,2023-09-13T17:49:24Z,0
39,2023-09-12T18:49:32Z,0
40,2023-08-27T23:38:14Z,0
41,2023-08-26T20:26:49Z,0
42,2023-08-25T08:30:22Z,0
43,2023-08-07T00:43:59Z,0
44,2023-08-06T20:01:15Z,2
45,2023-08-04T17:17:59Z,2
46,2023-08-01T23:48:11Z,0
47,2023-08-01T23:44:37Z,0
48,2023-07-09T10:23:23Z,0
49,2023-07-03T19:14:54Z,0
50,2023-07-02T15:57:56Z,7
51,2023-06-30T18:08:26Z,37
52,2023-06-11T08:56:29Z,0
53,2023-06-10T10:12:40Z,0
54,2023-05-31T14:10:29Z,0
55,2023-05-15T06:43:04Z,0
56,2023-05-10T08:12:11Z,0
57,2023-04-25T19:22:48Z,0
58,2023-04-20T12:34:49Z,1
59,2023-04-20T04:31:19Z,0
60,2023-03-19T13:49:20Z,0
61,2023-02-26T15:46:35Z,3
62,2023-02-24T12:01:59Z,4
63,2023-02-16T20:02:28Z,0
64,2023-01-26T06:14:18Z,0
65,2023-01-25T22:23:30Z,0
66,2023-01-13T23:45:08Z,0
67,2023-01-08T20:02:25Z,0
68,2023-01-07T09:30:18Z,0
69,2022-12-31T21:29:26Z,0
70,2022-12-22T13:41:23Z,22
71,2022-12-19T20:01:59Z,6
72,2022-12-15T10:38:09Z,0
73,2022-12-12T17:56:25Z,0
74,2022-12-03T22:41:20Z,0
75,2022-11-30T16:43:16Z,0
76,2022-10-26T07:36:19Z,0
77,2022-10-22T07:49:36Z,0
78,2022-10-20T19:09:49Z,0
79,2022-10-18T02:32:57Z,92
80,2022-09-24T11:08:22Z,0
81,2022-09-14T03:50:07Z,0
82,2022-08-31T02:58:42Z,1
83,2022-08-28T22:44:44Z,1
84,2022-08-09T04:14:41Z,1
85,2022-08-03T02:13:55Z,5
86,2022-08-01T16:06:44Z,0
87,2022-07-31T17:53:40Z,16
88,2022-07-07T07:27:59Z,4
89,2022-06-21T09:14:29Z,3
90,2022-06-19T11:13:06Z,2
91,2022-06-17T15:57:24Z,8
92,2022-06-16T00:49:20Z,1
93,2022-06-13T17:12:02Z,0
94,2022-06-13T15:54:34Z,1
95,2022-06-13T15:53:47Z,0
96,2022-06-13T12:55:52Z,11
97,2023-11-29T19:48:01Z,0
98,2023-11-22T03:53:11Z,0
99,2023-11-17T14:51:03Z,0
100,2023-11-17T05:54:33Z,0
101,2023-11-13T12:45:53Z,0
102,2023-11-11T07:23:37Z,0
103,2023-11-05T17:08:09Z,0
104,2023-11-03T16:00:58Z,0
105,2023-11-02T13:35:27Z,0
106,2023-10-22T18:14:12Z,0
107,2023-10-19T12:57:11Z,0
108,2023-10-18T15:58:52Z,1
109,2023-10-15T12:55:29Z,0
110,2023-10-13T01:26:42Z,0
111,2023-10-12T13:54:47Z,0
112,2023-10-10T21:46:52Z,0
113,2023-10-07T14:27:43Z,0
114,2023-10-02T13:50:58Z,0
115,2023-10-01T14:59:01Z,1
116,2023-09-29T07:57:01Z,0
117,2023-09-24T18:49:46Z,0
118,2023-09-23T23:24:37Z,0
119,2023-09-23T15:23:32Z,2
120,2023-09-20T01:43:02Z,0
121,2023-09-17T17:23:53Z,0
122,2023-09-14T17:05:06Z,0
123,2023-09-06T05:19:29Z,0
124,2023-09-04T17:06:13Z,0
125,2023-09-03T05:22:21Z,0
126,2023-08-30T19:36:10Z,1
127,2023-08-27T18:57:33Z,0
128,2023-08-24T15:38:07Z,0
129,2023-08-23T07:19:28Z,0
130,2023-08-22T07:22:16Z,0
131,2023-08-17T07:58:34Z,0
132,2023-08-10T10:04:15Z,0
133,2023-08-01T07:34:47Z,0
134,2023-07-29T21:49:08Z,3
135,2023-07-23T11:20:29Z,0
136,2023-07-20T04:20:53Z,144
137,2023-07-10T01:52:45Z,0
138,2023-07-01T18:21:16Z,0
139,2023-07-01T13:34:07Z,0
140,2023-06-19T20:26:37Z,0
141,2023-06-18T22:17:00Z,0
142,2023-06-17T07:05:18Z,0
143,2023-06-07T09:35:35Z,1
144,2023-06-04T13:39:16Z,1
145,2023-06-03T09:15:39Z,0
146,2023-06-02T03:47:00Z,0
147,2023-06-01T22:09:04Z,0
148,2023-05-18T18:23:13Z,0
149,2023-05-18T18:23:12Z,0
150,2023-05-10T16:40:04Z,1
151,2023-05-09T18:32:10Z,1
152,2023-05-09T04:07:23Z,1
153,2023-05-04T14:51:04Z,1
154,2023-05-04T05:41:24Z,2
155,2023-05-01T17:53:01Z,2
156,2023-04-21T17:02:22Z,1
157,2023-04-21T16:25:59Z,1
158,2023-04-18T19:23:01Z,1
159,2023-04-09T04:04:52Z,1
160,2023-04-03T15:52:39Z,2
161,2023-03-30T20:05:59Z,1
162,2023-03-30T02:32:32Z,6
163,2023-03-24T11:11:19Z,5
164,2023-03-20T22:20:08Z,2
165,2023-03-19T13:42:01Z,2
166,2023-03-14T09:11:59Z,1
167,2023-03-12T09:54:36Z,2
168,2023-03-08T04:50:33Z,2
169,2023-03-02T12:22:53Z,1
170,2023-02-23T20:13:11Z,2
171,2023-02-23T17:31:11Z,2
172,2023-02-18T08:33:43Z,0
173,2023-02-12T13:33:24Z,0
174,2023-02-12T07:05:14Z,0
175,2023-02-11T12:04:23Z,0
176,2023-02-02T02:35:09Z,0
177,2023-01-31T15:52:25Z,0
178,2023-01-31T01:03:58Z,0
179,2023-01-30T11:24:47Z,0
180,2023-01-23T10:55:45Z,1
181,2023-01-20T12:25:25Z,0
182,2023-01-16T14:00:44Z,0
183,2023-01-14T19:27:56Z,7
184,2023-01-13T15:58:30Z,0
185,2023-01-11T15:40:22Z,1
186,2023-01-11T15:13:24Z,0
187,2023-01-06T14:25:23Z,0
188,2023-01-03T22:22:37Z,0
189,2022-12-30T07:43:38Z,0
190,2022-12-27T19:40:56Z,2
191,2022-12-24T05:29:37Z,1
192,2022-12-23T11:59:09Z,0
193,2022-12-21T18:25:35Z,0
194,2023-11-22T09:07:44Z,0
195,2023-08-28T16:33:19Z,0
196,2023-02-24T10:04:08Z,0
197,2023-02-21T15:18:41Z,2
198,2023-02-04T22:37:45Z,3
199,2023-01-30T19:57:43Z,15
200,2023-01-28T05:45:37Z,38
201,2023-01-20T09:03:58Z,0
202,2023-01-17T12:40:39Z,2
203,2023-01-17T10:13:10Z,2
204,2023-01-17T02:34:31Z,91
205,2023-01-16T21:45:33Z,1
206,2023-01-16T17:31:48Z,1
207,2023-01-16T17:23:24Z,1
208,2023-01-16T17:07:01Z,0
209,2023-01-16T16:43:17Z,0
210,2023-01-16T16:20:00Z,0
211,2023-10-11T05:40:20Z,0
212,2023-09-30T18:11:53Z,0
213,2023-09-24T09:51:22Z,1
214,2023-09-24T06:42:22Z,1
215,2023-09-13T17:37:37Z,0
216,2023-09-07T11:49:51Z,1
217,2023-08-25T10:06:01Z,0
218,2023-07-10T21:31:25Z,0
219,2023-03-06T07:58:42Z,0
220,2023-01-27T01:10:01Z,1
221,2023-01-10T16:25:42Z,0
222,2022-12-13T05:10:40Z,0
223,2022-11-17T09:34:45Z,0
224,2022-10-19T21:56:38Z,0
225,2022-10-04T22:55:46Z,0
226,2022-10-04T03:38:39Z,0
227,2022-10-03T13:10:13Z,0
228,2022-09-02T16:04:10Z,0
229,2022-08-22T03:11:39Z,0
230,2022-08-21T21:59:44Z,0
231,2022-08-21T21:03:18Z,0
232,2022-08-21T03:07:40Z,1
233,2022-08-14T12:20:29Z,0
234,2022-07-15T01:45:21Z,0
235,2022-07-06T07:00:19Z,0
236,2022-06-01T14:21:16Z,0
237,2022-05-23T16:08:22Z,0
238,2022-05-05T18:12:21Z,0
239,2022-03-16T15:15:06Z,1
240,2022-03-13T16:21:01Z,0
241,2022-03-09T14:22:56Z,0
242,2022-03-09T11:29:19Z,0
243,2022-03-08T14:47:12Z,0
244,2022-03-03T13:10:11Z,0
245,2022-02-26T12:44:40Z,0
246,2022-02-21T02:06:05Z,0
247,2022-02-10T10:36:59Z,0
248,2022-01-21T01:03:25Z,0
249,2022-01-19T17:44:23Z,0
250,2021-11-17T19:34:18Z,1
251,2021-10-17T16:41:35Z,0
252,2021-10-04T21:14:44Z,0
253,2021-09-22T00:25:53Z,5
254,2021-09-11T03:44:51Z,0
255,2021-09-07T10:28:25Z,0
256,2021-08-26T12:10:56Z,0
257,2021-08-09T11:15:23Z,3
258,2021-08-02T04:43:06Z,0
259,2021-07-29T00:19:04Z,0
260,2021-06-24T06:27:07Z,0
261,2021-04-10T16:57:50Z,0
